code_activity_avdth;code_activity_observe;setsuccessstatus_activity_observe;code_objectoperation_floatingobject_observe;status_active_observe;time_at_sea;fishing_time;set_duration;label_activity_observe;label_activity_avdth;label_objectoperation_floatingobject_observe;comment 
3;5;;;1;0;0;0;Arrival of vessel at the observed system;Searching;;
3;16;;;1;0;0;0;End of searching;Searching;;
15;0;;;1;0;0;0;At port;At port;;
15;51;;;1;0;0;0;Transfert at port of a crew member;At port;;
42;21;;;1;0;0;0;FPA zone change;FPA zone change;;
52;52;;;0;0;0;0;Fake set, for hosting historical samples;Fake set, for hosting historical samples;;
99;7;;;0;0;0;0;End of fishing (skiff is brought on board);Other non-fishing activities;;
4;1;;;1;1;0;0;Transit (steaming without searching);Transit (steaming without searching);;
4;18;;;1;1;0;0;Steaming at night towards a floating object;Transit (steaming without searching);;
4;101;;;0;1;0;0;[deprecated] Transit (steaming without searching);Transit (steaming without searching);;
4;103;;;1;1;0;0;Day without activity;Transit (steaming without searching);;
7;11;;;1;1;0;0;Drifting due to mechanical problems;Damage;;
7;22;;;0;1;0;0;Damage;Damage;;
8;10;;;1;1;0;0;Drifting due to bad weather;Heaving to ;;
10;9;;;1;1;0;0;Drifting during the night (engine stopped);Waiting;;
10;24;;;1;1;0;0;Waiting;Waiting;;
36;36;;;1;1;0;0;Refueling;Refueling;;
37;37;;;1;1;0;0;Medical evacuation;Medical evacuation;;
38;38;;;1;1;0;0;This vessel towed;Vessel towed;;
39;39;;;1;1;0;0;Towing another vessel;Towing another vessel;;
99;50;;;1;1;0;0;Training on board (priracy, fire, abandonment, etc);Other non-fishing activities;;
99;99;;;1;1;0;0;Other (to detail in the comments);Other non-fishing activities;;
99;13;;99;0;0;0;0;Operation on FOB only (visit, deployment, modification, retrieval);Unknown operation on FOB;Unknown;
40;13;;11;1;0;0;0;Operation on FOB only (visit, deployment, modification, retrieval);Loss of FOB;Loss;
99;13;;10;1;0;0;0;Operation on FOB only (visit, deployment, modification, retrieval);Unknown operation on FOB;Other (to be precised);
5;13;;1;1;1;1;0;Operation on FOB only (visit, deployment, modification, retrieval);Deployment of FOB;Deployment;
29;13;;2;1;1;1;0;Operation on FOB only (visit, deployment, modification, retrieval);Visit to FOB equipped with beacon;Visit;
1;13;;3;0;0;0;0;Operation on FOB only (visit, deployment, modification, retrieval);Fishing on FOB;Fishing;The set_duration and fishing_time of fishing on FOB activity have already been taken into account via corresponding fishing activity (code 6 in observe and 0,1,2, or 14 in avdth database) and elementary catches associated. 
6;13;;4;1;1;1;0;Operation on FOB only (visit, deployment, modification, retrieval);Recovery of FOB;Removal;
32;13;;8;1;1;1;0;Operation on FOB only (visit, deployment, modification, retrieval);Reinforced of a FOB with beacon;Modified or reinforced;
23;13;;9;1;1;1;0;Operation on FOB only (visit, deployment, modification, retrieval);Redeployment of FOB with beacon;Replacement;
33;13;;5;1;0;0;0;Operation on FOB only (visit, deployment, modification, retrieval);Loss, end or controlled shutdown of FOB transmission;Abandonment (without beacon, not destroyed, not sunk);
6;13;;6;1;1;1;0;Operation on FOB only (visit, deployment, modification, retrieval);Recovery of FOB;Destruction;
33;13;;7;1;0;0;0;Operation on FOB only (visit, deployment, modification, retrieval);Loss, end or controlled shutdown of FOB transmission;Sinking;
;13;;12;1;0;0;0;Operation on FOB only (visit, deployment, modification, retrieval);;Stranding;
3;2;;;1;1;1;0;Searching (in general);Searching;;
3;3;;;0;1;1;0;Searching for floating objects (logs or FADs);Searching;;
3;4;;;1;1;1;0;Steaming towards observed system associated to the tuna school;Searching;;
3;8;;;1;1;1;0;Drifting during the day near a tuna school, a log or a FAD;Searching;;
3;19;;;0;1;1;0;Continue steaming towards observed system associated to the tuna school;Searching;;
3;102;;;0;1;1;0;[deprecated] Searching (in general);Searching;;
6;14;;;0;1;1;0;Recovering a floating object (log or FAD) belonging to the vessel;Recovery of FOB;;
6;15;;;0;1;1;0;Recovering a floating object (log or FAD) that does not belong to the vessel;Recovery of FOB;;
6;20;;;0;1;1;0;Recovery of a floating object;Recovery of FOB;;
9;23;;;1;1;1;0;Bait fishing;Bait ;;
10;17;;;0;1;1;0;Anchorage on top of a seamount;Waiting;;
11;12;;;1;1;1;0;Transshipping at sea (equipment, FADs, crew member);Transshipping at sea ;;
11;25;;;1;1;1;0;Offshore transshipment (details unknown);Transshipping at sea ;;
12;26;;;1;1;1;0;Transshipment from a purse seiner;Transshipment from a purse seiner;;
13;27;;;1;1;1;0;Transshipment to a purse seiner;Transshipment to a purse seiner;;
19;29;;;1;1;1;0;Transshipment to a bait boat;Transshipment to a bait boat;;
20;30;;;1;1;1;0;Transshipment from a bait boat;Transshipment from a bait boat;;
35;31;;;1;1;1;0;Fish discard;Discard;;
2;32;;;0;1;1;1;Activity/set created from the well plan;;;fishing_time=set_duration  
0;6;0;;1;1;1;1;Fishing (skiff is deployed);Null set ;;fishing_time=set_duration  
1;6;1;;1;1;1;1;Fishing (skiff is deployed);Positive set;;fishing_time=set_duration  
2;6;2;;1;1;1;1;Fishing (skiff is deployed);Unknown set;;fishing_time=set_duration  
14;6;0;;1;1;1;1;Fishing (skiff is deployed);Pocket capsizing;;fishing_time=set_duration  
