ocean_code;species_code;species_fao_code;ld1_class;lf_class;ratio
1;1;YFT;8.0;32;50
1;1;YFT;8.0;34;50
1;1;YFT;8.5;32;50
1;1;YFT;8.5;34;50
1;1;YFT;9.0;32;50
1;1;YFT;9.0;34;50
1;1;YFT;9.5;32;50
1;1;YFT;9.5;34;50
1;1;YFT;10.0;32;50
1;1;YFT;10.0;34;50
1;1;YFT;10.5;32;50
1;1;YFT;10.5;34;50
1;1;YFT;11.0;34;50
1;1;YFT;11.0;36;50
1;1;YFT;11.5;34;50
1;1;YFT;11.5;36;50
1;1;YFT;12.0;36;25
1;1;YFT;12.0;38;50
1;1;YFT;12.0;40;25
1;1;YFT;12.5;36;25
1;1;YFT;12.5;38;50
1;1;YFT;12.5;40;25
1;1;YFT;13.0;36;16
1;1;YFT;13.0;38;34
1;1;YFT;13.0;40;34
1;1;YFT;13.0;42;16
1;1;YFT;13.5;38;16
1;1;YFT;13.5;40;34
1;1;YFT;13.5;42;34
1;1;YFT;13.5;44;16
1;1;YFT;14.0;40;16
1;1;YFT;14.0;42;34
1;1;YFT;14.0;44;34
1;1;YFT;14.0;46;16
1;1;YFT;14.5;42;16
1;1;YFT;14.5;44;34
1;1;YFT;14.5;46;34
1;1;YFT;14.5;48;16
1;1;YFT;15.0;46;50
1;1;YFT;15.0;48;50
1;1;YFT;15.5;48;50
1;1;YFT;15.5;50;50
1;1;YFT;16.0;46;16
1;1;YFT;16.0;48;34
1;1;YFT;16.0;50;34
1;1;YFT;16.0;52;16
1;1;YFT;16.5;48;16
1;1;YFT;16.5;50;34
1;1;YFT;16.5;52;34
1;1;YFT;16.5;54;16
1;1;YFT;17.0;50;16
1;1;YFT;17.0;52;34
1;1;YFT;17.0;54;34
1;1;YFT;17.0;56;16
1;1;YFT;17.5;52;16
1;1;YFT;17.5;54;34
1;1;YFT;17.5;56;34
1;1;YFT;17.5;58;16
1;1;YFT;18.0;54;16
1;1;YFT;18.0;56;34
1;1;YFT;18.0;58;34
1;1;YFT;18.0;60;16
1;1;YFT;18.5;56;16
1;1;YFT;18.5;58;34
1;1;YFT;18.5;60;34
1;1;YFT;18.5;62;16
1;1;YFT;19.0;56;16
1;1;YFT;19.0;58;34
1;1;YFT;19.0;60;34
1;1;YFT;19.0;62;16
1;1;YFT;19.5;58;16
1;1;YFT;19.5;60;34
1;1;YFT;19.5;62;34
1;1;YFT;19.5;64;16
1;1;YFT;20.0;60;16
1;1;YFT;20.0;62;34
1;1;YFT;20.0;64;34
1;1;YFT;20.0;66;16
1;1;YFT;20.5;62;16
1;1;YFT;20.5;64;34
1;1;YFT;20.5;66;34
1;1;YFT;20.5;68;16
1;1;YFT;21.0;62;7
1;1;YFT;21.0;64;18
1;1;YFT;21.0;66;25
1;1;YFT;21.0;68;25
1;1;YFT;21.0;70;18
1;1;YFT;21.0;72;7
1;1;YFT;21.5;64;7
1;1;YFT;21.5;66;18
1;1;YFT;21.5;68;25
1;1;YFT;21.5;70;25
1;1;YFT;21.5;72;18
1;1;YFT;21.5;74;7
1;1;YFT;22.0;66;7
1;1;YFT;22.0;68;18
1;1;YFT;22.0;70;25
1;1;YFT;22.0;72;25
1;1;YFT;22.0;74;18
1;1;YFT;22.0;76;7
1;1;YFT;22.5;68;7
1;1;YFT;22.5;70;18
1;1;YFT;22.5;72;25
1;1;YFT;22.5;74;25
1;1;YFT;22.5;76;18
1;1;YFT;22.5;78;7
1;1;YFT;23.0;70;7
1;1;YFT;23.0;72;18
1;1;YFT;23.0;74;25
1;1;YFT;23.0;76;25
1;1;YFT;23.0;78;18
1;1;YFT;23.0;80;7
1;1;YFT;23.5;72;7
1;1;YFT;23.5;74;18
1;1;YFT;23.5;76;25
1;1;YFT;23.5;78;25
1;1;YFT;23.5;80;18
1;1;YFT;23.5;82;7
1;1;YFT;24.0;72;4
1;1;YFT;24.0;74;7
1;1;YFT;24.0;76;16
1;1;YFT;24.0;78;23
1;1;YFT;24.0;80;23
1;1;YFT;24.0;82;16
1;1;YFT;24.0;84;7
1;1;YFT;24.0;86;4
1;1;YFT;24.5;74;4
1;1;YFT;24.5;76;7
1;1;YFT;24.5;78;16
1;1;YFT;24.5;80;23
1;1;YFT;24.5;82;23
1;1;YFT;24.5;84;16
1;1;YFT;24.5;86;7
1;1;YFT;24.5;88;4
1;1;YFT;25.0;78;4
1;1;YFT;25.0;80;7
1;1;YFT;25.0;82;16
1;1;YFT;25.0;84;23
1;1;YFT;25.0;86;23
1;1;YFT;25.0;88;16
1;1;YFT;25.0;90;7
1;1;YFT;25.0;92;4
1;1;YFT;25.5;80;4
1;1;YFT;25.5;82;7
1;1;YFT;25.5;84;16
1;1;YFT;25.5;86;23
1;1;YFT;25.5;88;23
1;1;YFT;25.5;90;16
1;1;YFT;25.5;92;7
1;1;YFT;25.5;94;4
1;1;YFT;26.0;82;4
1;1;YFT;26.0;84;7
1;1;YFT;26.0;86;16
1;1;YFT;26.0;88;23
1;1;YFT;26.0;90;23
1;1;YFT;26.0;92;16
1;1;YFT;26.0;94;7
1;1;YFT;26.0;96;4
1;1;YFT;26.5;84;4
1;1;YFT;26.5;86;7
1;1;YFT;26.5;88;16
1;1;YFT;26.5;90;23
1;1;YFT;26.5;92;23
1;1;YFT;26.5;94;16
1;1;YFT;26.5;96;7
1;1;YFT;26.5;98;4
1;1;YFT;27.0;86;4
1;1;YFT;27.0;88;7
1;1;YFT;27.0;90;16
1;1;YFT;27.0;92;23
1;1;YFT;27.0;94;23
1;1;YFT;27.0;96;16
1;1;YFT;27.0;98;7
1;1;YFT;27.0;100;4
1;1;YFT;27.5;88;4
1;1;YFT;27.5;90;7
1;1;YFT;27.5;92;16
1;1;YFT;27.5;94;23
1;1;YFT;27.5;96;23
1;1;YFT;27.5;98;16
1;1;YFT;27.5;100;7
1;1;YFT;27.5;102;4
1;1;YFT;28.0;90;4
1;1;YFT;28.0;92;7
1;1;YFT;28.0;94;16
1;1;YFT;28.0;96;23
1;1;YFT;28.0;98;23
1;1;YFT;28.0;100;16
1;1;YFT;28.0;102;7
1;1;YFT;28.0;104;4
1;1;YFT;28.5;92;4
1;1;YFT;28.5;94;7
1;1;YFT;28.5;96;16
1;1;YFT;28.5;98;23
1;1;YFT;28.5;100;23
1;1;YFT;28.5;102;16
1;1;YFT;28.5;104;7
1;1;YFT;28.5;106;4
1;1;YFT;29.0;94;4
1;1;YFT;29.0;96;7
1;1;YFT;29.0;98;16
1;1;YFT;29.0;100;23
1;1;YFT;29.0;102;23
1;1;YFT;29.0;104;16
1;1;YFT;29.0;106;7
1;1;YFT;29.0;108;4
1;1;YFT;29.5;96;4
1;1;YFT;29.5;98;7
1;1;YFT;29.5;100;16
1;1;YFT;29.5;102;23
1;1;YFT;29.5;104;23
1;1;YFT;29.5;106;16
1;1;YFT;29.5;108;7
1;1;YFT;29.5;110;4
1;1;YFT;30.0;98;4
1;1;YFT;30.0;100;7
1;1;YFT;30.0;102;16
1;1;YFT;30.0;104;23
1;1;YFT;30.0;106;23
1;1;YFT;30.0;108;16
1;1;YFT;30.0;110;7
1;1;YFT;30.0;112;4
1;1;YFT;30.5;100;4
1;1;YFT;30.5;102;7
1;1;YFT;30.5;104;16
1;1;YFT;30.5;106;23
1;1;YFT;30.5;108;23
1;1;YFT;30.5;110;16
1;1;YFT;30.5;112;7
1;1;YFT;30.5;114;4
1;1;YFT;31.0;102;4
1;1;YFT;31.0;104;7
1;1;YFT;31.0;106;16
1;1;YFT;31.0;108;23
1;1;YFT;31.0;110;23
1;1;YFT;31.0;112;16
1;1;YFT;31.0;114;7
1;1;YFT;31.0;116;4
1;1;YFT;31.5;104;4
1;1;YFT;31.5;106;7
1;1;YFT;31.5;108;16
1;1;YFT;31.5;110;23
