ocean_code;ocean_label;species_code;species_fao_code;length_weight_formula;lwr_a;lwr_b
1;Atlantic;1;YFT;a * Math.pow(L, b);0.000021527;2.97600
1;Atlantic;2;SKJ;a * Math.pow(L, b);0.000007480;3.25260
1;Atlantic;3;BET;a * Math.pow(L, b);0.000023960;2.97740
1;Atlantic;4;ALB;a * Math.pow(L, b);0.000013718;3.09730
1;Atlantic;5;LTA;a * Math.pow(L, b);0.000013770;3.03500
1;Atlantic;6;FRI;a * Math.pow(L, b);0.000000280;4.13514
1;Atlantic;7;SKH;a * Math.pow(L, b);50.0;0.0
1;Atlantic;12;BLF;a * Math.pow(L, b);0.0000154;3.08
1;Atlantic;15;BON;a * Math.pow(L, b);0.5;0.0
1;Atlantic;17;BLT;a * Math.pow(L, b);0.0000076;3.249
1;Atlantic;18;FRZ;a * Math.pow(L, b);0.00000028;4.13514
1;Atlantic;20;WAH;a * Math.pow(L, b);0.0000032;3.201
1;Atlantic;23;MAW;a * Math.pow(L, b);0.5;0.0
1;Atlantic;29;KGX;a * Math.pow(L, b);0.5;0.0
1;Atlantic;30;SAI;a * Math.pow(L, b);0.0000044;3.0
1;Atlantic;32;BLM;a * Math.pow(L, b);0.0000065;2.96
1;Atlantic;33;BUM;a * Math.pow(L, b);0.0000035;3.158
1;Atlantic;35;WHM;a * Math.pow(L, b);0.0000046;3.0
1;Atlantic;37;SPF;a * Math.pow(L, b);0.0000044;3.0
1;Atlantic;38;BIL;a * Math.pow(L, b);0.0000044;3.0
1;Atlantic;39;SWO;a * Math.pow(L, b);0.0000078;3.21
2;Indian;1;YFT;a * Math.pow(L, b);0.000015849;3.04600
2;Indian;2;SKJ;a * Math.pow(L, b);0.000005320;3.34958
2;Indian;3;BET;a * Math.pow(L, b);0.000027000;2.95100
2;Indian;4;ALB;a * Math.pow(L, b);0.000006303;3.28250
2;Indian;5;LTA;a * Math.pow(L, b);0.000013770;3.03500
2;Indian;6;FRI;a * Math.pow(L, b);0.000000280;4.13514
2;Indian;7;SKH;a * Math.pow(L, b);50.0;0.0
2;Indian;10;KAW;a * Math.pow(L, b);0.000030;2.908
2;Indian;11;LOT;a * Math.pow(L, b);0.0000143;3.0
2;Indian;17;BLT;a * Math.pow(L, b);0.0000076;3.249
2;Indian;18;FRZ;a * Math.pow(L, b);0.00000028;4.13514
2;Indian;20;WAH;a * Math.pow(L, b);0.0000032;3.201
2;Indian;31;SFA;a * Math.pow(L, b);0.0000161;2.72
2;Indian;33;BUM;a * Math.pow(L, b);0.0000035;3.158
2;Indian;36;MLS;a * Math.pow(L, b);0.0000165;3.062
2;Indian;38;BIL;a * Math.pow(L, b);0.0000044;3.0
2;Indian;39;SWO;a * Math.pow(L, b);0.0000078;3.21
2;Indian;308;CNT;a * Math.pow(L, b);0.0002269;2.2964
1;Atlantic;308;CNT;a * Math.pow(L, b);0.0002269;2.2964
