"ocean";"specie_code";"specie_code3l";"lwr_a";"lwr_b"
1;1;YFT;0.000021527;2.97600
1;2;SKJ;0.000007480;3.25260
1;3;BET;0.000023960;2.97740
1;4;ALB;0.000013718;3.09730
1;5;LTA;0.000013770;3.03500
1;6;FRI;0.000000280;4.13514
1;7;SKH;50.0;0.0
1;12;BLF;0.0000154;3.08
1;15;BON;0.5;0.0
1;17;BLT;0.0000076;3.249
1;18;FRZ;0.00000028;4.13514
1;20;WAH;0.0000032;3.201
1;23;MAW;0.5;0.0
1;29;KGX;0.5;0.0
1;30;SAI;0.0000044;3.0
1;32;BLM;0.0000065;2.96
1;33;BUM;0.0000035;3.158
1;35;WHM;0.0000046;3.0
1;37;SPF;0.0000044;3.0
1;38;BIL;0.0000044;3.0
1;39;SWO;0.0000078;3.21
2;1;YFT;0.000015849;3.04600
2;2;SKJ;0.000005320;3.34958
2;3;BET;0.000027000;2.95100
2;4;ALB;0.000006303;3.28250
2;5;LTA;0.000013770;3.03500
2;6;FRI;0.000000280;4.13514
2;7;SKH;50.0;0.0
2;10;KAW;0.000030;2.908
2;11;LOT;0.0000143;3.0
2;17;BLT;0.0000076;3.249
2;18;FRZ;0.00000028;4.13514
2;20;WAH;0.0000032;3.201
2;31;SFA;0.0000161;2.72
2;33;BUM;0.0000035;3.158
2;36;MLS;0.0000165;3.062
2;38;BIL;0.0000044;3.0
2;39;SWO;0.0000078;3.21
