"avdth_weight_category_code","species_fao_code","weight_category_min","weight_category_max"
"1","YFT",0,3
"1","ALB",0,3
"1","BET",0,3
"1","SKJ",0,1.8
"2","YFT",3,10
"2","ALB",3,10
"2","BET",3,10
"2","SKJ",1.8,Inf
"3","YFT",10,30
"3","ALB",10,30
"3","BET",10,30
"3","SKJ",1.8,4
"4","YFT",6,20
"4","ALB",6,20
"4","BET",6,20
"4","SKJ",1.8,6
"5","YFT",30,50
"5","ALB",30,50
"5","BET",30,50
"5","SKJ",4,6
"6","YFT",20,40
"6","ALB",20,40
"6","BET",20,40
"6","SKJ",4,8
"7","YFT",50,Inf
"7","ALB",50,Inf
"7","BET",50,Inf
"7","SKJ",4,8
"8","YFT",40,60
"8","ALB",40,60
"8","BET",40,60
"8","SKJ",8,Inf
"9","YFT",0,Inf
"9","ALB",0,Inf
"9","BET",0,Inf
"9","SKJ",0,Inf
"10","YFT",0,10
"10","ALB",0,10
"10","BET",0,10
"11","YFT",10,Inf
"11","ALB",10,Inf
"11","BET",10,Inf
"12","YFT",10,30
"12","ALB",10,30
"12","BET",10,30
"13","YFT",30,Inf
"13","ALB",30,Inf
"13","BET",30,Inf
"14","YFT",60,Inf
"14","ALB",60,Inf
"14","BET",60,Inf
